publisher;title;author;category;primary_isbn13;barnes_and_noble_price;rating;ban_link
HarperCollins Leadership;ADVERSITY FOR SALE;"Jay ""Jeezy"" Jenkins with Benjamin Meadows-Ingram";Hardcover Nonfiction;9,7814E+12;29.99;0;https://www.barnesandnoble.com/w/adversity-for-sale-jeezy/1143652912?ean=9781400236251
Crown;POVERTY, BY AMERICA;Matthew Desmond;Hardcover Nonfiction;9,78059E+12;28;4;https://www.barnesandnoble.com/w/poverty-by-america-matthew-desmond/1141679690?ean=9780593239919
Random House;SPARE;Prince Harry;Hardcover Nonfiction;9,78059E+12;36;4.1;https://www.barnesandnoble.com/w/spare-prince-harry-the-duke-of-sussex/1142564630?ean=9780593593806
Harmony;OUTLIVE;Peter Attia with Bill Gifford;Hardcover Nonfiction;9,78059E+12;32;5;https://www.barnesandnoble.com/w/outlive-peter-attia-md/1141470538?ean=9780593236598
Avid Reader;GAMBLER;Billy Walters with Armen Keteyian;Hardcover Nonfiction;9,78167E+12;35;0;https://www.barnesandnoble.com/w/gambler-billy-walters/1143046107?ean=9781668032855
Doubleday;THE WAGER;David Grann;Hardcover Nonfiction;9,78039E+12;30;4.5;https://www.barnesandnoble.com/w/the-wager-david-grann/1141813906?ean=9780385534260
Simon & Schuster;I'M GLAD MY MOM DIED;Jennette McCurdy;Hardcover Nonfiction;9,78198E+12;27.99;4.5;https://www.barnesandnoble.com/w/im-glad-my-mom-died-jennette-mccurdy/1140377015?ean=9781982185824
Farrar, Straus and Giroux;NECESSARY TROUBLE;Drew Gilpin Faust;Hardcover Nonfiction;9,78037E+12;30;0;https://www.barnesandnoble.com/w/necessary-trouble-drew-gilpin-faust/1142038755?ean=9780374601805
Portfolio;NEVER ENOUGH;Jennifer Breheny Wallace;Hardcover Nonfiction;9,78059E+12;29;5;https://www.barnesandnoble.com/w/never-enough-jennifer-breheny-wallace/1142779009?ean=9780593191866
Ballantine;THE IN-BETWEEN;Hadley Vlahos;Hardcover Nonfiction;9,78059E+12;27;4.9;https://www.barnesandnoble.com/w/the-in-between-hadley-vlahos-rn/1142242368?ean=9780593499931
Crown;POVERTY, BY AMERICA;Matthew Desmond;Hardcover Nonfiction;9,78059E+12;28;4;https://www.barnesandnoble.com/w/poverty-by-america-matthew-desmond/1141679690?ean=9780593239919
Flatiron;BEYOND THE STORY;BTS and Myeongseok Kang;Hardcover Nonfiction;9,78125E+12;45;4.9;https://www.barnesandnoble.com/w/beyond-the-story-bts/1143474669?ean=9781250326751
All Seasons;TUCKER;Chadwick Moore;Hardcover Nonfiction;9,78196E+12;30;5;https://www.barnesandnoble.com/w/tucker-chadwick-moore/1143475570?ean=9781958682012
Flatiron;WHAT HAPPENED TO YOU?;Bruce D. Perry and Oprah Winfrey;Hardcover Nonfiction;9,78125E+12;28.99;4.5;https://www.barnesandnoble.com/w/what-happened-to-you-oprah-winfrey/1138411016?ean=9781250223180
Viking;THINK AGAIN;Adam Grant;Hardcover Nonfiction;9,78198E+12;28;4.4;https://www.barnesandnoble.com/w/think-again-adam-grant/1137570667?ean=9781984878106
Flatiron;PAGEBOY;Elliot Page;Hardcover Nonfiction;9,78125E+12;29.99;3.8;https://www.barnesandnoble.com/w/pageboy-elliot-page/1141673209?ean=9781250878359
Hachette;TRAIL OF THE LOST;Andrea Lankford;Hardcover Nonfiction;9,78031E+12;30;4.3;https://www.barnesandnoble.com/w/trail-of-the-lost-andrea-lankford/1142799730?ean=9780306831959
Knopf;THE ART THIEF;Michael Finkel;Hardcover Nonfiction;9,78053E+12;28;4.1;https://www.barnesandnoble.com/w/the-art-thief-michael-finkel/1142363800?ean=9780525657323
Harmony;OUTLIVE;Peter Attia with Bill Gifford;Hardcover Nonfiction;9,78059E+12;32;5;https://www.barnesandnoble.com/w/outlive-peter-attia-md/1141470538?ean=9780593236598
Doubleday;THE WAGER;David Grann;Hardcover Nonfiction;9,78039E+12;30;4.5;https://www.barnesandnoble.com/w/the-wager-david-grann/1141813906?ean=9780385534260
Simon & Schuster;I'M GLAD MY MOM DIED;Jennette McCurdy;Hardcover Nonfiction;9,78198E+12;27.99;4.5;https://www.barnesandnoble.com/w/im-glad-my-mom-died-jennette-mccurdy/1140377015?ean=9781982185824
Avid Reader;GAMBLER;Billy Walters with Armen Keteyian;Hardcover Nonfiction;9,78167E+12;35;0;https://www.barnesandnoble.com/w/gambler-billy-walters/1143046107?ean=9781668032855
Crown;POVERTY, BY AMERICA;Matthew Desmond;Hardcover Nonfiction;9,78059E+12;28;4;https://www.barnesandnoble.com/w/poverty-by-america-matthew-desmond/1141679690?ean=9780593239919
Portfolio;NEVER ENOUGH;Jennifer Breheny Wallace;Hardcover Nonfiction;9,78059E+12;29;5;https://www.barnesandnoble.com/w/never-enough-jennifer-breheny-wallace/1142779009?ean=9780593191866
Ballantine;THE IN-BETWEEN;Hadley Vlahos;Hardcover Nonfiction;9,78059E+12;27;4.9;https://www.barnesandnoble.com/w/the-in-between-hadley-vlahos-rn/1142242368?ean=9780593499931
Flatiron;WHAT HAPPENED TO YOU?;Bruce D. Perry and Oprah Winfrey;Hardcover Nonfiction;9,78125E+12;28.99;4.5;https://www.barnesandnoble.com/w/what-happened-to-you-oprah-winfrey/1138411016?ean=9781250223180
Flatiron;BEYOND THE STORY;BTS and Myeongseok Kang;Hardcover Nonfiction;9,78125E+12;45;4.9;https://www.barnesandnoble.com/w/beyond-the-story-bts/1143474669?ean=9781250326751
HarperCollins Leadership;ADVERSITY FOR SALE;"Jay ""Jeezy"" Jenkins with Benjamin Meadows-Ingram";Hardcover Nonfiction;9,7814E+12;29.99;0;https://www.barnesandnoble.com/w/adversity-for-sale-jeezy/1143652912?ean=9781400236251
Skyhorse;VAX-UNVAX;Robert F. Kennedy and Brian Hooker;Hardcover Nonfiction;9,78151E+12;35;3.7;https://www.barnesandnoble.com/w/vax-unvax-robert-f-kennedy-jr/1142798122?ean=9781510766969
Viking;THINK AGAIN;Adam Grant;Hardcover Nonfiction;9,78198E+12;28;4.4;https://www.barnesandnoble.com/w/think-again-adam-grant/1137570667?ean=9781984878106
Simon & Schuster;THE FOURTH TURNING IS HERE;Neil Howe;Hardcover Nonfiction;9,78198E+12;32.50;0;https://www.barnesandnoble.com/w/the-fourth-turning-is-here-neil-howe/1142483520?ean=9781982173739
Flatiron;PAGEBOY;Elliot Page;Hardcover Nonfiction;9,78125E+12;29.99;3.8;https://www.barnesandnoble.com/w/pageboy-elliot-page/1141673209?ean=9781250878359
All Seasons;TUCKER;Chadwick Moore;Hardcover Nonfiction;9,78196E+12;30;5;https://www.barnesandnoble.com/w/tucker-chadwick-moore/1143475570?ean=9781958682012
Harmony;OUTLIVE;Peter Attia with Bill Gifford;Hardcover Nonfiction;9,78059E+12;32;5;https://www.barnesandnoble.com/w/outlive-peter-attia-md/1141470538?ean=9780593236598
Dutton;WHY WE LOVE BASEBALL;Joe Posnanski;Hardcover Nonfiction;9,78059E+12;29;5;https://www.barnesandnoble.com/w/why-we-love-baseball-joe-posnanski/1143081751?ean=9780593472675
